transaction_id,account_number,transaction_date,value_date,transaction_type,amount,balance_after,currency,counterparty_name,narration,category,payment_mode
33f1e90e-85d4-4b5f-99b7-14a49a276825,HDFC-CA-29833423,2025-01-01,2025-01-01,DEBIT,40000,1160000,INR,Prestige Office Rentals,ACH-OFFICE-RENT,Rent,ACH
f247c741-25fe-4e55-b7e0-2ee6f0c11826,HDFC-CA-29833423,2025-01-01,2025-01-01,CREDIT,31556,1191556,INR,Gamma Technologies,IMPS-CLIENT-5012,Client Collection,IMPS
8833e6e1-9d7b-45b8-a0ac-347d3ae6a6d6,HDFC-CA-29833423,2025-01-01,2025-01-01,CREDIT,83513,1275069,INR,Beta Solutions,IMPS-CLIENT-2679,Client Collection,IMPS
ae344aa4-a453-410f-bf19-baf2b6b13e47,HDFC-CA-29833423,2025-01-01,2025-01-01,DEBIT,58302,1216767,INR,AWS India Pvt Ltd,NEFT-VENDOR-1488,Vendor Payment,NEFT
eb1d0877-06a2-400b-82f8-60f525780972,HDFC-CA-29833423,2025-01-01,2025-01-01,DEBIT,1991,1214776,INR,Prestige Office Rentals,UPI-EXP-76237,Operating Expense,UPI
ab04dfbe-3b44-4374-b840-472f03f8dc9f,HDFC-CA-29833423,2025-01-01,2025-01-01,DEBIT,5131,1209645,INR,AWS India Pvt Ltd,UPI-EXP-83563,Operating Expense,UPI
a0679b6b-da03-4ff4-9000-a519f0fd3181,HDFC-CA-29833423,2025-01-01,2025-01-01,DEBIT,1828,1207817,INR,Swiggy,UPI-EXP-38893,Operating Expense,UPI
15573c2c-801f-4f8d-8d3d-04288faf6732,HDFC-CA-29833423,2025-01-01,2025-01-01,DEBIT,3879,1203938,INR,Staples India,UPI-EXP-10851,Operating Expense,UPI
3c66a5b4-f8a4-499b-87a4-6c25ee911642,HDFC-CA-29833423,2025-01-02,2025-01-02,CREDIT,208013,1411951,INR,Delta Systems,IMPS-CLIENT-6574,Client Collection,IMPS
b530a389-3503-4a65-8abe-c8b25181295b,HDFC-CA-29833423,2025-01-02,2025-01-02,CREDIT,97842,1509793,INR,Beta Solutions,IMPS-CLIENT-4527,Client Collection,IMPS
de3cc739-6177-4e6b-9a60-eb35aa973bad,HDFC-CA-29833423,2025-01-02,2025-01-02,CREDIT,225145,1734938,INR,Gamma Technologies,IMPS-CLIENT-2674,Client Collection,IMPS
