invoice_id,client_id,client_name,invoice_number,invoice_date,due_date,service_type,gross_amount,tax_amount,net_amount,collection_status
824110a9-8f48-42e7-a578-c4efbca91f3b,C001,Alpha Corp,C001-INV-39256,2025-01-13,2025-02-27,IT Consulting,114196,20555.28,134751.28,Collected
c7431fb1-7f15-49a5-b87e-268591052a5c,C001,Alpha Corp,C001-INV-65302,2025-12-13,2026-01-12,IT Consulting,204794,36862.92,241656.91999999998,Collected
5e50d902-3659-441e-9e13-7cc8b16b2233,C001,Alpha Corp,C001-INV-76237,2025-02-17,2025-03-19,IT Consulting,110990,19978.2,130968.2,Overdue
f0497866-f4a6-4803-9584-1038edc5d230,C001,Alpha Corp,C001-INV-95181,2025-10-15,2025-11-14,IT Consulting,237700,42786.0,280486.0,Overdue
3bbc4515-6a65-4d72-82d8-78af371923f8,C005,Epsilon Infotech,C005-INV-87236,2025-08-03,2025-09-02,IT Consulting,167757,30196.26,197953.26,Pending
1e7d6a92-f61b-4722-9377-28ff2a6d0d8b,C001,Alpha Corp,C001-INV-46421,2025-03-23,2025-05-07,IT Consulting,139194,25054.92,164248.91999999998,Collected
1ef9c0d6-e093-4745-adbf-e55beb41bb3c,C002,Beta Solutions,C002-INV-59797,2025-06-22,2025-07-22,IT Consulting,74312,13376.16,87688.16,Collected
06524084-3e72-4ae3-bec0-187c52265be4,C003,Gamma Technologies,C003-INV-15695,2025-06-26,2025-08-10,IT Consulting,261583,47084.94,308667.94,Overdue
d44af602-febc-4736-99d1-0a19324f71a2,C004,Delta Systems,C004-INV-59615,2025-10-02,2025-11-01,IT Consulting,291774,52519.32,344293.32,Collected
54d21070-e023-4c21-b2dc-ce86d73b5d9f,C005,Epsilon Infotech,C005-INV-35203,2025-05-31,2025-07-15,IT Consulting,201349,36242.82,237591.82,Overdue
187471de-bae7-4f35-8e1d-a6d5c8dc49b1,C001,Alpha Corp,C001-INV-47930,2025-01-24,2025-02-23,IT Consulting,252655,45477.9,298132.9,Collected
57996758-f786-435b-b637-eab0d767a0b3,C002,Beta Solutions,C002-INV-69429,2025-02-21,2025-04-07,IT Consulting,122869,22116.42,144985.41999999998,Overdue
fef63f5c-72ff-40bf-9f2f-795e4deb277d,C003,Gamma Technologies,C003-INV-37460,2025-03-25,2025-05-09,IT Consulting,143132,25763.76,168895.76,Overdue
01309c77-c2c1-47c7-a6c4-79a538909d24,C003,Gamma Technologies,C003-INV-93227,2025-12-26,2026-01-25,IT Consulting,209680,37742.4,247422.4,Collected
fda23546-2e81-443e-912f-2407136ec176,C005,Epsilon Infotech,C005-INV-59735,2025-05-06,2025-06-05,IT Consulting,171178,30812.04,201990.04,Pending
adf6ea04-0b15-487e-b694-edf06709c77f,C005,Epsilon Infotech,C005-INV-17331,2025-04-23,2025-06-07,IT Consulting,270948,48770.64,319718.64,Collected
a94d9348-9923-4b3e-93f3-59e69b53389c,C001,Alpha Corp,C001-INV-18675,2025-06-11,2025-07-26,IT Consulting,120186,21633.48,141819.48,Collected
77229ce6-6742-488c-9ff1-063662adddba,C005,Epsilon Infotech,C005-INV-75435,2025-06-11,2025-07-11,IT Consulting,221819,39927.42,261746.41999999998,Pending
fb1ae1ba-83f0-4c28-a54f-dc04c29a13e5,C004,Delta Systems,C004-INV-42325,2025-03-15,2025-04-29,IT Consulting,86603,15588.54,102191.54000000001,Overdue
8fe6f011-4788-4566-b4fd-26e8d14459ff,C005,Epsilon Infotech,C005-INV-86622,2025-10-03,2025-11-17,IT Consulting,245825,44248.5,290073.5,Pending
cc1fc24b-ee50-4c10-a17e-20c978f57e65,C005,Epsilon Infotech,C005-INV-28131,2025-07-24,2025-09-07,IT Consulting,107493,19348.74,126841.74,Overdue
f3b7c250-484e-4fd4-b84e-fabbc331eba6,C004,Delta Systems,C004-INV-24371,2025-02-16,2025-03-18,IT Consulting,275732,49631.76,325363.76,Collected
c6fe115c-2096-4c28-8cab-f52f6cb29929,C002,Beta Solutions,C002-INV-18326,2025-12-15,2026-01-29,IT Consulting,206345,37142.1,243487.1,Pending
68c97de4-2631-4505-9a79-bdbafb3b6e5e,C004,Delta Systems,C004-INV-42953,2025-11-02,2025-12-17,IT Consulting,188704,33966.72,222670.72,Overdue
